CRIM;ZN;INDUS;CHAS;NOX;RM;AGE;DIS;RAD;TAX;PTRATIO;B;LSTAT;MEDV
0.3494;0;9900;0;0.544;59720;76.7;31025;4;304;18.4;396.24;9.97;20.3
263548;0;9900;0;0.544;49730;37.8;25194;4;304;18.4;350.45;12.64;16.1
0.79041;0;9900;0;0.544;61220;52.8;26403;4;304;18.4;396.9;5.98;22.1
0.26169;0;9900;0;0.544;60230;90.4;28340;4;304;18.4;396.3;11.72;19.4
0.26938;0;9900;0;0.544;62660;82.8;32628;4;304;18.4;393.39;7.9;21.6
0.3692;0;9900;0;0.544;65670;87.3;36023;4;304;18.4;395.69;9.28;23.8
0.25356;0;9900;0;0.544;57050;77.7;39450;4;304;18.4;396.42;11.5;16.2
0.31827;0;9900;0;0.544;59140;83.2;39986;4;304;18.4;390.7;18.33;17.8
0.24522;0;9900;0;0.544;57820;71.7;40317;4;304;18.4;396.9;15.94;19.8
0.40202;0;9900;0;0.544;63820;67.2;35325;4;304;18.4;395.21;10.36;23.1
0.47547;0;9900;0;0.544;61130;58.8;40019;4;304;18.4;396.23;12.73;21
0.1676;0;7380;0;0.493;64260;52.3;45404;5;287;19.6;396.9;7.2;23.8
0.18159;0;7380;0;0.493;63760;54.3;45404;5;287;19.6;396.9;6.87;23.1
0.35114;0;7380;0;0.493;60410;49.9;47211;5;287;19.6;396.9;7.7;20.4
0.28392;0;7380;0;0.493;57080;74.3;47211;5;287;19.6;391.13;11.74;18.5
0.34109;0;7380;0;0.493;64150;40.1;47211;5;287;19.6;396.9;6.12;25
0.19186;0;7380;0;0.493;64310;14.7;54159;5;287;19.6;393.68;5.08;24.6
0.30347;0;7380;0;0.493;63120;28.9;54159;5;287;19.6;396.9;6.15;23
0.24103;0;7380;0;0.493;60830;43.7;54159;5;287;19.6;396.9;12.79;22.2
0.06617;0;3240;0;0.46;58680;25.8;52146;4;430;16.9;382.44;9.97;19.3
0.06724;0;3240;0;0.46;63330;17.2;52146;4;430;16.9;375.21;7.34;22.6
0.04544;0;3240;0;0.46;61440;32.2;58736;4;430;16.9;368.57;9.09;19.8
0.05023;35;6060;0;0.4379;57060;28.4;66407;1;304;16.9;394.02;12.43;17.1
0.03466;35;6060;0;0.4379;60310;23.3;66407;1;304;16.9;362.25;7.83;19.4
0.05083;0;5190;0;0.515;63160;38.1;64584;5;224;20.2;389.71;5.68;22.2
0.03738;0;5190;0;0.515;63100;38.5;64584;5;224;20.2;389.4;6.75;20.7
0.03961;0;5190;0;0.515;60370;34.5;59853;5;224;20.2;396.9;8.01;21.1
0.03427;0;5190;0;0.515;58690;46.3;52311;5;224;20.2;396.9;9.8;19.5
0.03041;0;5190;0;0.515;58950;59.6;56150;5;224;20.2;394.81;10.56;18.5
0.03306;0;5190;0;0.515;60590;37.3;48122;5;224;20.2;396.14;8.51;20.6
0.05497;0;5190;0;0.515;59850;45.4;48122;5;224;20.2;396.9;9.74;19
0.06151;0;5190;0;0.515;59680;58.5;48122;5;224;20.2;396.9;9.29;18.7
0.01301;35;1520;0;0.442;72410;49.3;70379;1;284;15.5;394.74;5.49;32.7
0.02498;0;1890;0;0.518;65400;59.7;62669;1;422;15.9;389.96;8.65;16.5
0.02543;55;3780;0;0.484;66960;56.4;57321;5;370;17.6;396.9;7.18;23.9
0.03049;55;3780;0;0.484;68740;28.1;64654;5;370;17.6;387.97;4.61;31.2
0.03113;0;4390;0;0.442;60140;48.5;80136;3;352;18.8;385.64;10.53;17.5
0.06162;0;4390;0;0.442;58980;52.3;80136;3;352;18.8;364.61;12.67;17.2
0.0187;85;4150;0;0.429;65160;27.7;85353;4;351;17.9;392.43;6.36;23.1
0.01501;80;2010;0;0.435;66350;29.7;83440;4;280;17;390.94;5.99;24.5
0.02899;40;1250;0;0.429;69390;34.5;87921;1;335;19.7;389.85;5.89;26.6
0.06211;40;1250;0;0.429;64900;44.4;87921;1;335;19.7;396.9;5.98;22.9
0.0795;60;1690;0;0.411;65790;35.9;107103;4;411;18.3;370.78;5.49;24.1
0.07244;60;1690;0;0.411;58840;18.5;107103;4;411;18.3;392.33;7.79;18.6
0.01709;90;2020;0;0.41;67280;36.1;121265;5;187;17;384.46;4.5;30.1
0.04301;80;1910;0;0.413;56630;21.9;105857;4;334;22;382.8;8.05;18.2
0.10659;80;1910;0;0.413;59360;19.5;105857;4;334;22;376.04;5.57;20.6
898296;0;18100;1;0.77;62120;97.4;21222;24;666;20.2;377.73;17.6;17.8
384970;0;18100;1;0.77;63950;91;25052;24;666;20.2;391.34;13.27;21.7
520177;0;18100;1;0.77;61270;83.4;27227;24;666;20.2;395.43;11.48;22.7
426131;0;18100;0;0.77;61120;81.3;25091;24;666;20.2;390.74;12.67;22.6
454192;0;18100;0;0.77;63980;88;25182;24;666;20.2;374.56;7.79;25
383684;0;18100;0;0.77;62510;91.1;22955;24;666;20.2;350.65;14.19;19.9
367822;0;18100;0;0.77;53620;96.2;21036;24;666;20.2;380.79;10.19;20.8
422239;0;18100;1;0.77;58030;89;19047;24;666;20.2;353.04;14.64;16.8
347428;0;18100;1;0.718;87800;82.9;19047;24;666;20.2;354.55;5.29;21.9
455587;0;18100;0;0.718;35610;87.9;16132;24;666;20.2;354.7;7.12;27.5
369695;0;18100;0;0.718;49630;91.4;17523;24;666;20.2;316.03;14;21.9
1352220;0;18100;0;0.631;38630;100;15106;24;666;20.2;131.42;13.33;23.1
489822;0;18100;0;0.631;49700;100;13325;24;666;20.2;375.52;3.26;50
566998;0;18100;1;0.631;66830;96.8;13567;24;666;20.2;375.33;3.73;50
653876;0;18100;1;0.631;70160;97.5;12024;24;666;20.2;392.05;2.96;50
923230;0;18100;0;0.631;62160;100;11691;24;666;20.2;366.15;9.53;50
826725;0;18100;1;0.668;58750;89.6;11296;24;666;20.2;347.88;8.88;50
1110810;0;18100;0;0.668;49060;100;11742;24;666;20.2;396.9;34.77;13.8
1849820;0;18100;0;0.668;41380;100;11370;24;666;20.2;396.9;37.97;13.8
1960910;0;18100;0;0.671;73130;97.9;13163;24;666;20.2;396.9;13.44;15
1528800;0;18100;0;0.671;66490;93.3;13449;24;666;20.2;363.02;23.24;13.9
982349;0;18100;0;0.671;67940;98.8;13580;24;666;20.2;396.9;21.24;13.3
2364820;0;18100;0;0.671;63800;96.2;13861;24;666;20.2;396.9;23.69;13.1
1786670;0;18100;0;0.671;62230;100;13861;24;666;20.2;393.74;21.78;10.2
8897620;0;18100;0;0.671;69680;91.9;14165;24;666;20.2;396.9;17.21;10.4
1587440;0;18100;0;0.671;65450;99.1;15192;24;666;20.2;396.9;21.08;10.9
918702;0;18100;0;0.7;55360;100;15804;24;666;20.2;396.9;23.6;11.3
799248;0;18100;0;0.7;55200;100;15331;24;666;20.2;396.9;24.56;12.3
2008490;0;18100;0;0.7;43680;91.2;14395;24;666;20.2;285.83;30.63;8.8
1681180;0;18100;0;0.7;52770;98.1;14261;24;666;20.2;396.9;30.81;7.2
2439380;0;18100;0;0.7;46520;100;14672;24;666;20.2;396.9;28.28;10.5
2259710;0;18100;0;0.7;50000;89.5;15184;24;666;20.2;396.9;31.99;7.4
1433370;0;18100;0;0.7;48800;100;15895;24;666;20.2;372.92;30.62;10.2
815174;0;18100;0;0.7;53900;98.9;17281;24;666;20.2;396.9;20.85;11.5
696215;0;18100;0;0.7;57130;97;19265;24;666;20.2;394.43;17.11;15.1
529305;0;18100;0;0.7;60510;82.5;21678;24;666;20.2;378.38;18.76;23.2
1157790;0;18100;0;0.7;50360;97;17700;24;666;20.2;396.9;25.68;9.7
864476;0;18100;0;0.693;61930;92.6;17912;24;666;20.2;396.9;15.17;13.8
1335980;0;18100;0;0.693;58870;94.7;17821;24;666;20.2;396.9;16.35;12.7
871675;0;18100;0;0.693;64710;98.8;17257;24;666;20.2;391.98;17.12;13.1
587205;0;18100;0;0.693;64050;96;16768;24;666;20.2;396.9;19.37;12.5
767202;0;18100;0;0.693;57470;98.9;16334;24;666;20.2;393.1;19.92;8.5
3835180;0;18100;0;0.693;54530;100;14896;24;666;20.2;396.9;30.59;5
991655;0;18100;0;0.693;58520;77.8;15004;24;666;20.2;338.16;29.97;6.3
2504610;0;18100;0;0.693;59870;100;15888;24;666;20.2;396.9;26.77;5.6
1423620;0;18100;0;0.693;63430;100;15741;24;666;20.2;396.9;20.32;7.2
959571;0;18100;0;0.693;64040;100;16390;24;666;20.2;376.11;20.31;12.1
2480170;0;18100;0;0.693;53490;96;17028;24;666;20.2;396.9;19.77;8.3
4152920;0;18100;0;0.693;55310;85.4;16074;24;666;20.2;329.46;27.38;8.5
6792080;0;18100;0;0.693;56830;100;14254;24;666;20.2;384.97;22.98;5
2071620;0;18100;0;0.659;41380;100;11781;24;666;20.2;370.22;23.34;11.9
1195110;0;18100;0;0.659;56080;100;12852;24;666;20.2;332.09;12.13;27.9
740389;0;18100;0;0.597;56170;97.9;14547;24;666;20.2;314.64;26.4;17.2
1443830;0;18100;0;0.597;68520;100;14655;24;666;20.2;179.36;19.78;27.5
5113580;0;18100;0;0.597;57570;100;14130;24;666;20.2;2.6;10.11;15
1405070;0;18100;0;0.597;66570;100;15275;24;666;20.2;35.05;21.22;17.2
1881100;0;18100;0;0.597;46280;100;15539;24;666;20.2;28.79;34.37;17.9
2865580;0;18100;0;0.597;51550;100;15894;24;666;20.2;210.97;20.08;16.3
4574610;0;18100;0;0.693;45190;100;16582;24;666;20.2;88.27;36.98;7
1808460;0;18100;0;0.679;64340;100;18347;24;666;20.2;27.25;29.05;7.2
1083420;0;18100;0;0.679;67820;90.8;18195;24;666;20.2;21.57;25.79;7.5
2594060;0;18100;0;0.679;53040;89.1;16475;24;666;20.2;127.36;26.64;10.4
7353410;0;18100;0;0.679;59570;100;18026;24;666;20.2;16.45;20.62;8.8
1181230;0;18100;0;0.718;68240;76.5;17940;24;666;20.2;48.45;22.74;8.4
1108740;0;18100;0;0.718;64110;100;18589;24;666;20.2;318.75;15.02;16.7
702259;0;18100;0;0.718;60060;95.3;18746;24;666;20.2;319.98;15.7;14.2
1204820;0;18100;0;0.614;56480;87.6;19512;24;666;20.2;291.55;14.1;20.8
705042;0;18100;0;0.614;61030;85.1;20218;24;666;20.2;2.52;23.29;13.4
879212;0;18100;0;0.584;55650;70.6;20635;24;666;20.2;3.65;17.16;11.7
1586030;0;18100;0;0.679;58960;95.4;19096;24;666;20.2;7.68;24.39;8.3
1224720;0;18100;0;0.584;58370;59.7;19976;24;666;20.2;24.65;15.69;10.2
3766190;0;18100;0;0.679;62020;78.7;18629;24;666;20.2;18.82;14.52;10.9
736711;0;18100;0;0.679;61930;78.1;19356;24;666;20.2;96.73;21.52;11
933889;0;18100;0;0.679;63800;95.6;19682;24;666;20.2;60.72;24.08;9.5
849213;0;18100;0;0.584;63480;86.1;20527;24;666;20.2;83.45;17.64;14.5
1006230;0;18100;0;0.584;68330;94.3;20882;24;666;20.2;81.33;19.69;14.1
644405;0;18100;0;0.584;64250;74.8;22004;24;666;20.2;97.95;12.03;16.1
558107;0;18100;0;0.713;64360;87.9;23158;24;666;20.2;100.19;16.22;14.3
1391340;0;18100;0;0.713;62080;95;22222;24;666;20.2;100.63;15.17;11.7
1116040;0;18100;0;0.74;66290;94.6;21247;24;666;20.2;109.85;23.27;13.4
1442080;0;18100;0;0.74;64610;93.3;20026;24;666;20.2;27.49;18.05;9.6
1517720;0;18100;0;0.74;61520;100;19142;24;666;20.2;9.32;26.45;8.7
1367810;0;18100;0;0.74;59350;87.9;18206;24;666;20.2;68.95;34.02;8.4
939063;0;18100;0;0.74;56270;93.9;18172;24;666;20.2;396.9;22.88;12.8
2205110;0;18100;0;0.74;58180;92.4;18662;24;666;20.2;391.45;22.11;10.5
972418;0;18100;0;0.74;64060;97.2;20651;24;666;20.2;385.96;19.52;17.1
566637;0;18100;0;0.74;62190;100;20048;24;666;20.2;395.69;16.59;18.4
996654;0;18100;0;0.74;64850;100;19784;24;666;20.2;386.73;18.85;15.4
1280230;0;18100;0;0.74;58540;96.6;18956;24;666;20.2;240.52;23.79;10.8
1067180;0;18100;0;0.74;64590;94.8;19879;24;666;20.2;43.06;23.98;11.8
628807;0;18100;0;0.74;63410;96.4;20720;24;666;20.2;318.01;17.79;14.9
992485;0;18100;0;0.74;62510;96.6;21980;24;666;20.2;388.52;16.44;12.6
932909;0;18100;0;0.713;61850;98.7;22616;24;666;20.2;396.9;18.13;14.1
752601;0;18100;0;0.713;64170;98.3;21850;24;666;20.2;304.21;19.31;13
671772;0;18100;0;0.713;67490;92.6;23236;24;666;20.2;0.32;17.44;13.4
544114;0;18100;0;0.713;66550;98.2;23552;24;666;20.2;355.29;17.73;15.2
509017;0;18100;0;0.713;62970;91.8;23682;24;666;20.2;385.09;17.27;16.1
824809;0;18100;0;0.713;73930;99.3;24527;24;666;20.2;375.87;16.74;17.8
951363;0;18100;0;0.713;67280;94.1;24961;24;666;20.2;6.68;18.71;14.9
475237;0;18100;0;0.713;65250;86.5;24358;24;666;20.2;50.92;18.13;14.1
466883;0;18100;0;0.713;59760;87.9;25806;24;666;20.2;10.48;19.01;12.7
820058;0;18100;0;0.713;59360;80.3;27792;24;666;20.2;3.5;16.94;13.5
775223;0;18100;0;0.713;63010;83.7;27831;24;666;20.2;272.21;16.23;14.9
680117;0;18100;0;0.713;60810;84.4;27175;24;666;20.2;396.9;14.7;20
481213;0;18100;0;0.713;67010;90;25975;24;666;20.2;255.23;16.42;16.4
369311;0;18100;0;0.713;63760;88.4;25671;24;666;20.2;391.43;14.65;17.7
665492;0;18100;0;0.713;63170;83;27344;24;666;20.2;396.9;13.99;19.5
582115;0;18100;0;0.713;65130;89.9;28016;24;666;20.2;393.82;10.29;20.2
783932;0;18100;0;0.655;62090;65.4;29634;24;666;20.2;396.9;13.22;21.4
316360;0;18100;0;0.655;57590;48.2;30665;24;666;20.2;334.4;14.13;19.9
377498;0;18100;0;0.655;59520;84.7;28715;24;666;20.2;22.01;17.15;19
442228;0;18100;0;0.584;60030;94.5;25403;24;666;20.2;331.29;21.32;19.1
1557570;0;18100;0;0.58;59260;71;29084;24;666;20.2;368.74;18.13;19.1
1307510;0;18100;0;0.58;57130;56.7;28237;24;666;20.2;396.9;14.76;20.1
434879;0;18100;0;0.58;61670;84;30334;24;666;20.2;396.9;16.29;19.9
403841;0;18100;0;0.532;62290;90.7;30993;24;666;20.2;395.33;12.87;19.6
356868;0;18100;0;0.58;64370;75;28965;24;666;20.2;393.37;14.36;23.2
464689;0;18100;0;0.614;69800;67.6;25329;24;666;20.2;374.68;11.66;29.8
805579;0;18100;0;0.584;54270;95.4;24298;24;666;20.2;352.58;18.14;13.8
639312;0;18100;0;0.584;61620;97.4;22060;24;666;20.2;302.76;24.1;13.3
487141;0;18100;0;0.614;64840;93.6;23053;24;666;20.2;396.21;18.68;16.7
1502340;0;18100;0;0.614;53040;97.3;21007;24;666;20.2;349.48;24.91;12
1023300;0;18100;0;0.614;61850;96.7;21705;24;666;20.2;379.7;18.03;14.6
1433370;0;18100;0;0.614;62290;88;19512;24;666;20.2;383.32;13.11;21.4
582401;0;18100;0;0.532;62420;64.7;34242;24;666;20.2;396.9;10.74;23
570818;0;18100;0;0.532;67500;74.9;33317;24;666;20.2;393.07;7.74;23.7
573116;0;18100;0;0.532;70610;77;34106;24;666;20.2;395.28;7.01;25
281838;0;18100;0;0.532;57620;40.3;40983;24;666;20.2;392.92;10.42;21.8
237857;0;18100;0;0.583;58710;41.9;37240;24;666;20.2;370.73;13.34;20.6
367367;0;18100;0;0.583;63120;51.9;39917;24;666;20.2;388.62;10.58;21.2
569175;0;18100;0;0.583;61140;79.8;35459;24;666;20.2;392.68;14.98;19.1
483567;0;18100;0;0.583;59050;53.2;31523;24;666;20.2;388.22;11.45;20.6
0.15086;0;27740;0;0.609;54540;92.7;18209;4;711;20.1;395.09;18.06;15.2
0.18337;0;27740;0;0.609;54140;98.3;17554;4;711;20.1;344.05;23.97;7
0.20746;0;27740;0;0.609;50930;98;18226;4;711;20.1;318.43;29.68;8.1
0.10574;0;27740;0;0.609;59830;98.8;18681;4;711;20.1;390.11;18.07;13.6
0.11132;0;27740;0;0.609;59830;83.5;21099;4;711;20.1;396.9;13.35;20.1
0.17331;0;9690;0;0.585;57070;54;23817;6;391;19.2;396.9;12.01;21.8
0.27957;0;9690;0;0.585;59260;42.6;23817;6;391;19.2;396.9;13.59;24.5
0.17899;0;9690;0;0.585;56700;28.8;27986;6;391;19.2;393.29;17.6;23.1
0.2896;0;9690;0;0.585;53900;72.9;27986;6;391;19.2;396.9;21.14;19.7
0.26838;0;9690;0;0.585;57940;70.6;28927;6;391;19.2;396.9;14.1;18.3
0.23912;0;9690;0;0.585;60190;65.3;24091;6;391;19.2;396.9;12.92;21.2
0.17783;0;9690;0;0.585;55690;73.5;23999;6;391;19.2;395.77;15.1;17.5
0.22438;0;9690;0;0.585;60270;79.7;24982;6;391;19.2;396.9;14.33;16.8
0.06263;0;11930;0;0.573;65930;69.1;24786;1;273;21;391.99;9.67;22.4
0.04527;0;11930;0;0.573;61200;76.7;22875;1;273;21;396.9;9.08;20.6
0.06076;0;11930;0;0.573;69760;91;21675;1;273;21;396.9;5.64;23.9
0.10959;0;11930;0;0.573;67940;89.3;23889;1;273;21;393.45;6.48;22
0.04741;0;11930;0;0.573;60300;80.8;25050;1;273;21;396.9;7.88;11.9
